Componenta;Măsura;Finanțare;Titlul măsurii;Alocare Finaciară (euro Exclusiv Tva);Executat (euro);Executat (%)
C1;I1;loan;I1. Extinderea sistemelor de apă și canalizare în aglomerări mai mari de 2000 de locuitori echivalenți;244.838.539;50.017.454;20,40%
C1;I2;loan;I2. Colectarea apelor uzate în aglomerări mai mici de 2.000 de locuitori echivalenți, care împiedică atingerea unei stări bune a corpurilor de apă și/sau afectează arii naturale protejate;57.974.587;25.049.710;43,20%
C1;I4;loan;I4. Adaptarea la schimbările climatice prin automatizarea și digitalizarea echipamentelor de evacuare și stocare a apei la acumulări existente pentru asigurarea debitului ecologic și creșterea siguranței alimentării cu apă a populației și reducerea riscului la inundații.;33.003.856;1.185.419;3,60%
C1;I5;loan;I5. Dotarea adecvată a administrațiilor bazinale pentru monitorizarea infrastructurii, prevenirea și gestionarea situațiilor de urgență;35.000.000;12.484.331;35,70%
C1;I6;grant;I6. Realizarea cadastrului apelor;30.000.000;499.002;1,70%
C1;R2;loan;R2. Reconfigurarea actualului mecanism economic al ANAR în vederea asigurării modernizării și întreținerii sistemului național de gospodărire a apelor, precum și a implementării corespunzătoare a Directivei-cadru privind apa și a Directivei privind inundațiile;2.500.000;2.478.414;99,10%
C2;I1;grant;I1. Campania națională de împădurire și reîmpădurire, inclusiv păduri urbane;307.547.498;73.088.923;23,80%
C2;I2;grant;I2. Dezvoltarea de capacități moderne de producere a materialului forestier de reproducere;50.000.000;17.622.067;35,20%
C2;I3;grant;I3. Actualizarea planurilor de management aprobate și identificarea zonelor potențiale de protecție strictă în habitate naturale terestre și marine în vederea punerii în aplicare a Strategiei UE privind biodiversitatea pentru 2030;5.000.000;0;0,00%
C2;I4;grant;I4. Investiții integrate de reconstrucție ecologică a habitatelor și conservarea speciilor aferente pajiștilor, zonelor acvatice și dependente de apă;10.001.000;0;0,00%
C2;I5;grant;I5. Sisteme integrate de reducere a riscurilor generate de viituri torențiale în bazinete forestiere expuse unor astfel de fenomene;22.000.000;12.817.720;58,30%
C2;R1;grant;R1. Reforma sistemului de management și a celui privind guvernanța în domeniul forestier prin dezvoltarea unei noi Strategii forestiere naționale și a legislației subsecvente;1.000.000;661.400;66,10%
C3;I1-1;grant;I1. Dezvoltarea, modernizarea și completarea sistemelor de management integrat al deșeurilor municipale la nivel de județ sau la nivel de orașe/comune;240.106.200;22.057.661;9,20%
C3;I1-2;loan;I1. Dezvoltarea, modernizarea și completarea sistemelor de management integrat al deșeurilor municipale la nivel de județ sau la nivel de orașe/comune;165.643.845;20.313.708;12,30%
C3;I2;loan;I2. Dezvoltarea infrastructurii pentru managementul gunoiului de grajd și al altor deșeuri agricole compostabile;50.196.850;236.147;0,50%
C3;I3;grant;I3. Dezvoltarea capacităților instituționale de monitorizare publică și control pentru gestionarea deșeurilor și prevenirea poluării;13.000.000;6.794.785;52,30%
C4;I1;loan;I1. Modernizarea și reînnoirea infrastructurii feroviare;1.874.376.400;1.029.044.282;54,90%
C4;I2;loan;I2. Material rulant feroviar;280.829.800;146.803.831;52,30%
C4;I3-1;loan;I3. Dezvoltarea infrastructurii rutiere durabile aferente rețelei TEN-T, taxarea drumurilor, managementul traficului și siguranța rutieră;1.098.821.134;1.658.641.562;151,00%
C4;I3-2;grant;I3. Dezvoltarea infrastructurii rutiere durabile aferente rețelei TEN-T, taxarea drumurilor, managementul traficului și siguranța rutieră - 5 loturi A7 si Infrastructura aferentă operaționalizării sistemelor de trafic inteligent – centru de management al traficului, sisteme de informare a utilizatorilor, interoperabilitatea sistemelor de transport;2.169.200.266;0;0,00%
C4;R1;grant;R1. Transport sustenabil, decarbonizare și siguranță rutieră /Decarbonizarea rutieră în conformitate cu principiul „poluatorul plătește”;10.000.000;0;0,00%
C4;R2;loan;R2. Management performant pentru transport de calitate - Îmbunătățirea capacității instituționale de management și guvernanță corporativă;19.000.000;1.378.427;7,30%
C5;I1-1;grant;I1. Instituirea unui fond pentru Valul Renovării care să finanțeze lucrări de îmbunătățire a eficienței energetice a fondului construit;1.390.241.851;0;0,00%
C5;I1-2;loan;I1. Instituirea unui fond pentru Valul Renovării care să finanțeze lucrări de îmbunătățire a eficienței energetice a fondului construit;523.160.864;1.030.189.366;196,90%
C5;I2;loan;I2. Implementarea Registrului național al clădirilor;5.000.000;0;0,00%
C5;I4;loan;I4. Economie circulară și creșterea eficienței energetice a clădirilor istorice;14.850.000;1.313.610;8,90%
C5;R1;loan;R1. Realizarea unui cadru normativ simplificat și actualizat care să sprijine implementarea investițiilor în tranziția spre clădiri verzi și reziliente;150.000;22.000;14,70%
C6;I2;loan;I2. Capacitățile de producție a hidrogenului verde care să fie utilizat pentru stocarea energiei electrice și/sau pentru decarbonizarea industriei;86.500.000;2.860.866;3,30%
C6;I3;loan;I3. Dezvoltarea unei producții combinate de energie termică și energie electrică (CHP) pe gaz flexibile și de înaltă eficiență în sectorul încălzirii centralizate, în vederea atingerii unei decarbonizări adânci;86.377.743;28.787.172;33,30%
C6;I4-2;loan;I4. Lanț industrial de producție și/sau asamblare și/sau reciclare a bateriilor, a celulelor și panourilor fotovoltaice (inclusiv echipamente auxiliare) și noi capacități de stocare a energiei electrice;50.000.000;6.516;0,00%
C6;I4-3;grant;I4. Lanț industrial de producție și/sau asamblare și/sau reciclare a bateriilor, a celulelor și panourilor fotovoltaice (inclusiv echipamente auxiliare) și noi capacități de stocare a energiei electrice;80.000.000;0;0,00%
C6;I5;grant;I5. Asigurarea eficienței energetice în sectorul industrial;64.000.000;8.473.404;13,20%
C6;R4;loan;R4. Dezvoltarea unui cadru legislativ și de reglementare favorabil tehnologiilor viitorului, în special hidrogen și soluții de stocare;1.000.000;1.000.000;100,00%
C7;I1;grant;I1. Implementarea infrastructurii de cloud guvernamental;374.728.570;176.504.667;47,10%
C7;I2;grant;I2. Dezvoltarea cloudului și migrarea în cloud.;187.050.420;4.728.865;2,50%
C7;I3-1;grant;I3. Realizarea sistemului de eHealth și telemedicină - I3.1 Redimensionare, standardizare și optimizare a Platformei informatice din asigurările de sănătate (PIAS);100.000.000;22.316.977;22,30%
C7;I3-2;grant;I3. Realizarea sistemului de eHealth și telemedicină - I3.2. Digitalizarea instituțiilor cu atribuții în domeniul sanitar aflate în subordinea MS;100.000.000;0;0,00%
C7;I3-3;grant;I3. Realizarea sistemului de eHealth și telemedicină - I3.3 Digitalizarea a 200 de unități sanitare publice;100.000.000;0;0,00%
C7;I4;grant;I4. Digitalizarea sistemului judiciar;242.310.000;46.468.278;19,20%
C7;I5;grant;I5. Digitalizare în domeniul mediului;47.951.280;8.237.545;17,20%
C7;I6;grant;I6. Digitalizarea în domeniul muncii și protecției sociale;85.000.000;43.076.266;50,70%
C7;I7;grant;I7. Implementarea formularelor electronice eForms în domeniul achizițiilor publice;851.600;654.792;76,90%
C7;I8;grant;I8. Cartea de identitate electronică și semnătura digitală;129.000.000;230.861;0,20%
C7;I9;grant;I9. Digitalizarea sectorului organizațiilor neguvernamentale;12.000.000;39.196;0,30%
C7;I10;grant;I10. Transformarea digitală în managementul funcției publice;10.000.000;1.129.813;11,30%
C7;I11;grant;I11. Implementarea unei scheme de sprijinire a utilizării serviciilor de comunicații prin diferite tipuri de instrumente pentru beneficiari, cu accent pe zonele albe;94.000.000;18.202.922;19,40%
C7;I12;grant;I12. Asigurarea protecției cibernetice atât pentru infrastructurile TIC publice, cât și pentru cele private cu valențe critic e pentru securitatea națională, prin utilizarea tehnologiilor inteligente;100.000.000;196.840;0,20%
C7;I13;grant;I13. Dezvoltarea sistemelor de securitate pentru protecția spectrului guvernamental;38.530.000;10.060.486;26,10%
C7;I14;grant;I14. Sporirea rezilienței și a securității cibernetice a serviciilor de infrastructură ale furnizorilor de servicii de internet pentru autoritățile publice din România;18.393.501;17.589.781;95,60%
C7;I15;grant;I15. Crearea de noi competențe de securitate cibernetică pentru societate și economie;11.310.000;0;0,00%
C7;I16;grant;I16. Program de formare de competențe digitale avansate pentru funcționarii publici;20.000.000;5.658.100;28,30%
C7;I17;grant;I17. Scheme de finanțare pentru biblioteci pentru a deveni hub-uri de dezvoltare a competențelor digitale;22.624.468;6.773.811;29,90%
C7;I18;loan;I18. Transformarea digitală și adoptarea tehnologiei de automatizare a proceselor de lucru robotice în administrația publică.;14.800.000;50.838;0,30%
C7;I19;grant;I19. Scheme dedicate perfecționării/recalificării angajaților din firme;19.000.000;925.298;4,90%
C7;R1;grant;R1. Dezvoltarea unui cadru unitar pentru definirea arhitecturii unui sistem de tip cloud guvernamental;11.889.498;2.255.539;19,00%
C8;I1;grant;I1. Creșterea conformării voluntare a contribuabililor prin dezvoltarea serviciilor digitale;7.000.000;1.060.414;15,20%
C8;I2;grant;I2. Îmbunătățirea proceselor de administrare a impozitelor și taxelor, inclusiv prin implementarea managementului integrat al riscurilor;196.400.000;140.547.091;71,60%
C8;I3;grant;I3. Asigurarea capacității de răspuns la provocările informaționale actuale și viitoare, inclusiv în contextul pandemiei, prin transformarea digitală a Ministerului de Finanțe/Agenției Naționale de Administrare Fiscală;88.000.000;48.223.990;54,80%
C8;I4;grant;I4. Implementarea vămii electronice;61.999.999;40.674.441;65,60%
C8;I5;grant;I5. Îmbunătățirea mecanismului de programare bugetară;4.000.000;0;0,00%
C8;I6;grant;I6. Instrument de modelare economică (set de instrumente de simulare privind opțiunile de reformă a pensiilor) pentru îmbunătățirea capacității instituționale de a prognoza cheltuielile cu pensiile;400.000;347.708;86,90%
C8;I7;grant;I7. Asistență tehnică pentru revizuirea cadrului fiscal;4.000.000;1.058.610;26,50%
C8;I8;grant;I8. Operaționalizarea Băncii Naționale de Dezvoltare;10.000.000;9.954.200;99,50%
C8;I9;grant;I9. Susținerea procesului de evaluare a dosarelor de pensii aflate în plată;19.250.597;20.777.581;107,90%
C8;I10;grant;I10. Eficiență operațională și servicii electronice avansate pentru sistemul național de pensii prin digitalizare.;61.881.919;20.800.158;33,60%
